symbol,name,reportDate,percentChanges,meanAbsolutePercentChange
WVE,Wave Life Sciences Ltd,2024-11-07,"['-4.01%', '-1.54%', '31.32%', '-9.55%', '15.79%', '1.9%', '-10.38%', '5.84%']",10.04%
WEST,Westrock Coffee Company,2024-11-07,"['-0.86%', '-1.59%', '14.22%', '-11.59%', '-5.14%', '-5.95%', '-3.28%']",6.09%
IHRT,iHeartMedia Inc - Class A New,2024-11-07,"['1.4%', '-36.11%', '22.03%', '-15.96%', '-16.52%', '-13.3%', '-23.42%', '8.4%']",17.14%
LASR,nLIGHT Inc,2024-11-07,"['-2.94%', '5.02%', '-11.95%', '5.54%', '-12.44%', '38.14%', '-11.86%', '-10.96%']",12.36%
AAUAF,AAUAF,2024-11-08,"['0.0%', '0.0%', '8.33%', '0.0%']",2.08%
AMCX,AMC Networks Inc - Class A,2024-11-08,"['-5.44%', '-3.57%', '-15.43%', '13.81%', '13.36%', '5.43%', '32.34%', '-11.76%']",12.64%
APEMY,APEMY,2024-11-08,['0.0%'],0.0%
APMSF,APMSF,2024-11-08,['0.0%'],0.0%
ARHVF,ARHVF,2024-11-08,['0.0%'],0.0%
ASCCF,ASCCF,2024-11-08,['-3.35%'],3.35%
ASCCY,ASCCY,2024-11-08,['7.04%'],7.04%
ADNT,Adient plc,2024-11-08,"['-5.96%', '-9.3%', '-7.67%', '-8.71%', '1.33%', '-7.64%', '-0.44%', '14.2%']",6.91%
WMS,Advanced Drainage Systems Inc,2024-11-08,"['-1.86%', '-2.12%', '14.4%', '-0.94%', '0.69%', '10.97%', '-16.96%', '-25.02%']",9.12%
ATSG,Air Transport Services Group Inc,2024-11-08,"['17.35%', '11.02%', '-4.11%', '-22.86%', '14.91%', '-24.82%', '-18.8%', '3.11%']",14.62%
AIRS,Airsculpt Technologies Inc,2024-11-08,"['5.26%', '1.02%', '-12.06%', '-2.06%', '-0.71%', '-1.78%', '37.42%', '-21.99%']",10.29%
AXL,American Axle & Manufacturing Holdings Inc,2024-11-08,"['4.83%', '2.32%', '-3.16%', '11.38%', '-10.89%', '9.94%', '-7.96%', '-12.04%']",7.81%
AMRX,Amneal Pharmaceuticals Inc - Class A,2024-11-08,"['-1.54%', '8.86%', '-0.91%', '2.38%', '22.32%', '4.35%', '-4.78%', '1.92%', '-8.09%', '-6.98%']",6.21%
ANAB,AnaptysBio Inc,2024-11-08,"['-0.9%', '-10.75%', '11.61%', '8.21%', '2.65%', '-6.31%', '-2.39%', '-0.95%']",5.47%
CRBKF,CRBKF,2024-11-08,['0.0%'],0.0%
CRCUF,CRCUF,2024-11-08,['0.0%'],0.0%
CRLBF,CRLBF,2024-11-08,"['12.31%', '3.47%', '14.74%', '7.74%', '4.81%', '13.86%', '-2.3%', '-0.03%']",7.41%
CSAMF,CSAMF,2024-11-08,['0.0%'],0.0%
CVHSY,CVHSY,2024-11-08,['-1.05%'],1.05%
CVPBF,CVPBF,2024-11-08,['0.0%'],0.0%
CVPUF,CVPUF,2024-11-08,['0.0%'],0.0%
CWVLF,CWVLF,2024-11-08,['0.0%'],0.0%
CNTY,Century Casinos Inc,2024-11-08,"['-0.85%', '-3.18%', '-0.32%', '0.66%', '-5.17%', '0.28%', '-16.41%', '-5.78%', '-3.01%', '-2.17%', '-9.2%']",4.28%
DAIUF,DAIUF,2024-11-08,['-0.86%'],0.86%
DNGDF,DNGDF,2024-11-08,['1.88%'],1.88%
DTMXF,DTMXF,2024-11-08,"['7.81%', '0.33%', '0.0%']",2.71%
DWAHF,DWAHF,2024-11-08,['0.0%'],0.0%
DCBO,Docebo Inc,2024-11-08,"['14.36%', '-22.91%', '16.37%', '3.94%', '3.96%', '-17.57%', '2.8%', '20.36%']",12.78%
EAPBF,EAPBF,2024-11-08,['0.0%'],0.0%
ECO,ECHO BAY MINES LTD,2024-11-08,['2.87%'],2.87%
ECMPF,ECMPF,2024-11-08,['0.0%'],0.0%
ELRFF,ELRFF,2024-11-08,['-8.33%'],8.33%
ERRAF,ERRAF,2024-11-08,['0.0%'],0.0%
EXMRF,EXMRF,2024-11-08,['0.0%'],0.0%
EYPT,EyePoint Pharmaceuticals Inc,2024-11-08,"['-4.1%', '-2.61%', '-1.67%', '20.27%', '0.71%', '21.73%', '-8.83%', '-5.35%']",8.16%
FKCIF,FKCIF,2024-11-08,['0.0%'],0.0%
FRTAF,FRTAF,2024-11-08,['0.0%'],0.0%
FRTAY,FRTAY,2024-11-08,['0.0%'],0.0%
IMDZF,IMDZF,2024-11-08,"['0.0%', '0.0%']",0.0%
IMHDF,IMHDF,2024-11-08,['0.0%'],0.0%
ITAYY,ITAYY,2024-11-08,['0.0%'],0.0%
IEP,Icahn Enterprises L P,2024-11-08,"['-4.42%', '8.1%', '-0.72%', '13.08%', '-23.23%', '-15.14%', '0.33%', '2.09%']",8.39%
IMXI,International Money Express Inc,2024-11-08,"['-20.16%', '2.19%', '-7.4%', '11.28%', '-18.99%', '-1.57%', '-2.61%', '-15.41%']",9.95%
INUV,Inuvo Inc,2024-11-08,"['-12.5%', '-5.71%', '-19.61%', '5.26%', '8.7%', '6.67%', '-12.12%', '-18.6%']",11.15%
JPTXF,JPTXF,2024-11-08,['0.0%'],0.0%
KRLTF,KRLTF,2024-11-08,['0.0%'],0.0%
KUBTF,KUBTF,2024-11-08,['0.0%'],0.0%
LGMMY,LGMMY,2024-11-08,['0.0%'],0.0%
LAMR,Lamar Advertising Co - Class A,2024-11-08,"['2.24%', '1.0%', '-2.44%', '12.42%', '-4.89%', '-5.03%', '-2.73%', '-1.05%']",3.98%
LIQT,LiqTech International Inc,2024-11-08,"['-7.11%', '-1.51%', '-4.05%', '0.0%', '-0.76%', '0.0%', '6.82%', '4.65%', '-2.04%', '-45.65%', '-36.32%', '3.82%']",9.39%
MCBK,MCBK,2024-11-08,['0.0%'],0.0%
MDNDF,MDNDF,2024-11-08,['0.0%'],0.0%
MOLFF,MOLFF,2024-11-08,['0.0%'],0.0%
MOPLF,MOPLF,2024-11-08,['0.0%'],0.0%
MMI,Marcus & Millichap Inc,2024-11-08,"['-2.0%', '0.0%', '-1.3%', '7.01%', '-1.53%', '1.69%', '1.59%', '0.38%']",1.94%
NHPCF,NHPCF,2024-11-08,['0.0%'],0.0%
NKOKF,NKOKF,2024-11-08,['0.0%'],0.0%
NNCHF,NNCHF,2024-11-08,['-19.75%'],19.75%
PAGP,Plains GP Holdings LP - Class A,2024-11-08,"['-3.11%', '1.88%', '0.87%', '-0.92%', '1.69%', '5.39%', '-0.79%', '3.25%']",2.24%
RPGRF,RPGRF,2024-11-08,['0.0%'],0.0%
RPGRY,RPGRY,2024-11-08,['6.9%'],6.9%
RSOTF,RSOTF,2024-11-08,['0.0%'],0.0%
SHHPF,SHHPF,2024-11-08,['0.0%'],0.0%
SLTTF,SLTTF,2024-11-08,['0.0%'],0.0%
SNWVD,SNWVD,2024-11-08,['3.9%'],3.9%
SRNN,SRNN,2024-11-08,"['0.0%', '0.0%']",0.0%
SSDOF,SSDOF,2024-11-08,['-4.67%'],4.67%
SUMCF,SUMCF,2024-11-08,['-1.81%'],1.81%
SUOPY,SUOPY,2024-11-08,['-7.69%'],7.69%
SHCO,Soho House & Co Inc Class A,2024-11-08,"['3.71%', '2.73%', '-13.57%', '-21.1%', '14.87%', '-6.73%', '18.21%', '-18.74%']",12.46%
STER,Sterling Check Corp,2024-11-08,"['1.84%', '-1.03%', '26.17%', '-2.09%', '11.22%', '7.81%', '3.67%', '-16.82%', '12.22%']",9.21%
TAWNF,TAWNF,2024-11-08,['0.0%'],0.0%
TCNRF,TCNRF,2024-11-08,['0.0%'],0.0%
TIXT,TELUS International (Cda) Inc (Sub Voting),2024-11-08,"['-35.96%', '-18.15%', '2.51%', '-5.53%', '3.76%', '-5.71%', '-3.03%', '-5.22%']",9.98%
EVGN,Evogene Ltd,2024-11-10,"['-10.8%', '-2.7%', '3.23%', '4.76%', '-19.23%', '-4.55%', '-4.17%', '1.37%']",6.35%
FGOVF,FGOVF,2024-11-10,['0.46%'],0.46%
RDNT,Radnet Inc,2024-11-10,"['8.4%', '5.81%', '17.14%', '2.61%', '-6.04%', '-0.66%', '12.04%', '-11.18%']",7.98%
STLRF,STLRF,2024-11-10,['0.0%'],0.0%
