ticker,earningsPriceChanges,averagePriceChange
SSTI,"[-0.008, -0.034, -0.028, 0.087, -0.198, -0.215, -0.046, 0.009, 0.143, 0.032, -0.046, -0.094]",7.833%
SVCO,"[-0.006, -0.005]",0.55%
TBPH,"[-0.184, -0.02, 0.05, 0.053, -0.009, 0.004, 0.023, 0.031, -0.078, -0.042, 0.09, 0.052]",5.3%
TTGT,"[-0.076, 0.048, 0.005, 0.097, 0.068, -0.072, -0.153, -0.1, 0.002, 0.089, -0.131]",7.645%
TWFG,[-0.015],1.5%
VTSI,"[-0.299, 0.377, 0.142, 0.145, 0.139, 0.365, 0.009, 0.068, -0.05, 0.012, -0.086, -0.076]",14.733%
ACNT,"[0.02, -0.003, 0.023, 0.041, -0.016, 0.001, 0.005, -0.289, 0.172, 0.112, -0.107]",7.173%
AENT,"[0.338, -0.164, 0.048, 0.078, -0.038, -0.026]",11.533%
BTTR,"[-0.062, -0.248, -0.091, -0.047, 0.022, -0.196, -0.189, -0.046, 0.061, 0.144, -0.012]",10.164%
BZFD,"[0.259, -0.033, -0.006, -0.108, -0.11, -0.022, -0.258, 0.059, 0.011, -0.089, 0.065, 0.001]",8.508%
ELMD,"[-0.065, -0.025, 0.269, 0.021, 0.106, 0.12, 0.057, -0.039, 0.028, 0.003, -0.048]",7.1%
GRAL,[-0.028],2.8%
GROV,"[-0.063, -0.078, -0.058, 0.088, 0.301, -0.028, -0.103, 0.025, -0.083, -0.0]",8.27%
IRIX,"[-0.005, -0.14, 0.175, 0.068, -0.282, -0.009, -0.088, 0.05, -0.133, 0.025, -0.062]",9.427%
KITT,"[-0.175, 0.241, -0.117, 0.023, 0.061, -0.055, -0.045, 0.024]",9.263%
KODK,"[-0.018, -0.036, -0.036, 0.016, 0.056, -0.003, 0.1, -0.236, 0.088, -0.217, 0.012]",7.436%
LIDR,"[-0.074, 0.358, -0.191, -0.034, -0.057, -0.101, 0.028, 0.011, 0.113, 0.118, 0.039]",10.218%
MAPS,"[0.043, 0.056, 0.053, -0.046, -0.05, 0.19, 0.115, -0.332, -0.251, -0.08, 0.276]",13.564%
ME,"[-0.031, 0.007, -0.13, -0.22, -0.129, 0.02, 0.079, 0.003, -0.063, -0.01, -0.091]",7.118%
NTWK,"[-0.018, 0.035, 0.226, 0.105, -0.239, -0.08, -0.014, -0.016, -0.081, -0.115, 0.073]",9.109%
OCX,"[0.013, 0.041, -0.084, 0.298, 0, 0.022, -0.104, -0.217, 0.028, -0.035, -0.079, -0.064]",8.208%
PALT,"[0.038, 0.016, -0.143, 0.024, -0.034, 0.071, 0.036, -0.052, 0, -0.025, 0.008]",4.064%
PLBY,"[-0.228, -0.117, 0.082, -0.25, -0.06, -0.145, -0.112, 0.128, -0.172, 0.044, 0.123, 0.316]",14.808%
RLGT,"[0.034, -0.019, 0.021, 0.005, -0.09, -0.021, 0.069, -0.021, 0.01, 0.07, 0.094, 0.12]",4.783%
SHFS,"[0.016, -0.025, -0.031, -0.045, 0.02, -0.073, -0.15, -0.092]",5.65%
SLND,"[0.047, 0.074, -0.08, 0.06, -0.11, 0.029, 0.012, -0.001]",5.163%
SNT,"[-0.011, 0.235, 0.021, -0.017, -0.025, -0.062, 0.073, 0.107, -0.021, 0, -0.02, -0.027]",5.158%
ULY,"[-0.029, -0.037, -0.221, -0.002]",7.225%
CYBR,"[0.083, -0.015, 0.076, 0.073, 0.13, 0.039, -0.026, 0.11, 0.082, 0.123, 0.085]",7.655%
SSYS,"[-0.099, 0.023, 0.079, -0.045, -0.072, 0.097, 0.047, 0.023, -0.04, 0.127, -0.084, 0.13]",7.217%
TSEM,"[0.042, 0.064, 0.114, 0.039, 0.056, 0.015, 0.009, 0.03, 0.001, -0.013, -0.008, 0.046]",3.642%
FULC,"[0.103, -0.016, 0.046, 0.195, 0.008, 0.113, -0.23, 0.15, -0.024, -0.112, 0.054]",9.555%
ARCO,"[-0.006, -0.058, -0.005, 0.085, -0.068, 0.082, -0.025, -0.013, -0.004, 0.017, 0.019]",3.473%
BTM,"[-0.048, -0.061, -0.172, -0.073, 0.031]",7.7%
INVZ,"[-0.068, 0.161, -0.042, 0.108, 0.01, 0.07, -0.149, -0.033, 0.157, -0.144, -0.073]",9.227%
PSFE,"[0.064, 0.202, -0.119, 0.27, 0.239, -0.123, 0.036, 0.127, 0.023, -0.162, 0.048, -0.417]",15.25%
AFCG,"[0.083, -0.006, 0.019, -0.014, -0.024, -0.024, 0.004, -0.031, 0, 0.006, 0.001]",1.927%
ALUR,"[-0.025, 0.088, -0.043, 0.017]",4.325%
BKKT,"[-0.206, -0.139, -0.199, 0.368, -0.028, -0.058, -0.107, 0.092, 0.035, 0.302, -0.194]",15.709%
CRNT,"[0.069, -0.121, -0.007, -0.06, 0.079, -0.041, -0.119, 0.08, 0.015, -0.021, -0.075]",6.245%
RDCM,"[0.016, -0.107, 0.102, 0.082, 0.02, 0.045, 0.013, 0.018, 0.018, 0.018, -0.02, -0.037]",4.133%
ACXP,"[-0.011, 0.077, -0.048, -0.029, -0.082, -0.085, -0.015, 0.124, 0.037, -0.043, 0.013]",5.127%
BWEN,"[-0.061, 0.114, -0.066, -0.275, 0.107, -0.072, -0.193, -0.013, -0.031, 0.045, -0.022]",9.082%
CREX,"[-0.021, -0.032, -0.069, 0.073, -0.128, -0.091, 0.061, 0.075, -0.096, -0.153, 0.086, -0.065]",7.917%
